,Compound,Negative,Neutral,Positive,Text,Time of Tweet,Tweet Count,Tweets Ago,User
0,0.0,1.0,0.0,0.0,"🐻🍁This year's #Autumnwatch will take the team to New England, bringing you the most spectacular of seasons in four… https://t.co/lFI4SoY2yL",Wed Sep 12 09:02:01 +0000 2018,1,0,@BBC
1,0.064,0.893,0.048,0.059,"🍔""My son's getting clean protein… and no cholesterol.”

Meet the dad who feeds his son burgers almost every day.… https://t.co/OCCcPs1EDy",Wed Sep 12 08:01:07 +0000 2018,2,1,@BBC
2,0.042666666666666665,0.9286666666666666,0.032,0.03933333333333333,"Every year 640,000 tonnes of plastic from the fishing industry enters the sea. 🎣

♻️But there’s nowhere in the UK i… https://t.co/V8Hcc4L02V",Wed Sep 12 07:31:00 +0000 2018,3,2,@BBC
3,0.0127,0.88875,0.05475,0.056499999999999995,"🚗🎨 Meet James, aka Vanksy, a gas engineer who creates art from the dirt left on vehicles 🖌

https://t.co/mhofR4xyH2",Wed Sep 12 06:55:06 +0000 2018,4,3,@BBC
4,0.13754,0.8714000000000001,0.0438,0.0848,"🐶🎬 Ladybird and Snowflake were cast to star in the new British romantic comedy, Dusty &amp; Me. 

But what does it take… https://t.co/SvufrDjxDs",Tue Sep 11 19:07:02 +0000 2018,5,4,@BBC
5,0.0193,0.8293333333333334,0.09999999999999999,0.07066666666666667,"The horror of online dating 😂

#Wanderlust 

https://t.co/d6wVsWssKL",Tue Sep 11 17:59:04 +0000 2018,6,5,@BBC
6,0.016542857142857144,0.8537142857142858,0.08571428571428572,0.06057142857142857,"A series following the life of Princess Margaret as she re-defined our image of the modern princess, profiling how… https://t.co/6DHnhGO4hk",Tue Sep 11 17:05:07 +0000 2018,7,6,@BBC
7,0.05697500000000001,0.851125,0.075,0.073875,RT @bbccomedy: Literally every time I auditioned for the school play.  #UpstartCrow @RealDMitchell https://t.co/pIhDkU2tXT,Tue Sep 11 16:25:09 +0000 2018,8,7,@BBC
8,0.13764444444444446,0.8356666666666667,0.06666666666666667,0.09766666666666667,"🧀Pastry, ham and gouda cheese...😋 

Combine them all to make a breakfast fit for kings in this wonderful centrepiec… https://t.co/oBXEW23R9z",Tue Sep 11 15:58:00 +0000 2018,9,8,@BBC
9,0.12388000000000002,0.8521000000000001,0.06,0.0879,"RT @BBCSpringwatch: The New England colour change is so spectacular it can be seen from space 😲
#TuesdayThoughts #Autumnwatch https://t.co/…",Tue Sep 11 14:18:08 +0000 2018,10,9,@BBC
